abatyše	abbess
cizmec	1. stranger 2. alien 3. foreigner (male)
cizinecký	aqj. foreign
cizinecký úřad	Aliens Office
ctnost	virtue, see also cudnost
cukrář	confectioner, pastry cook
cukrovar	sugar factory, sugar refinery
cvočkař	stud maker
cyklus	cycle
devatenáctiletý cyklus	lunar cycle of nineteen years (chron.)
solární cyklus	solar cycle (chron.)
cysta	cyst (med.)
čarodějnice	witch
čarodějnictví	witchcraft
čas	1. time 2. tense 3. see měsíčky
časopis	periodical, joumal, magazine, serial
Čechy	Bohemia
čeledín	domestic farm band, groom
dostat se pod čepec	(=,,to get under bonnet") to get married
přijít pod čepec	(=,,to come under bonnet") see dostat se pod čepec
čepice	cap
čepovat	to tap (a barell ofbeer)
černý obchod	illicit trade
černý trh	black market
červ	see roup
červen	June
červená	usu. růže, but see also úplavice
červenec	July
červenka	see úplavice
Československá republika	the Czechoslovak Republic
československá církev husitská	the Czechoslovak Hussite Church
Československý válečný kříž 1918	the Czechoslovak 1918 War Cross
čeští bratří	see bratr, also see jednota bratrská
česnekář	garlic-seller
čest	honour
čestný	honest, honourable, honorary
čestné prohlášení	affidavit
Češkasubst. 1. Czech	2. Bohemian (female)(hist.)
četa	troop, platoon
četař	sergeant
četnický	adj. gendarme
čihařství	fowler's trade
činže	rent
číslo	number
číslo časopisu	issue nuinber (of magazíne)
konskripční číslo conscription number
přírůstkové číslo	accession/inventory number (ofa book)(lib.)
číšnice	waitress
číšník	waiter
čižba	see čihařství
článek	article
článek víry	article of faith
člen	member (of a club), Fellow (of a scientific society) (male)
členka	member (of a club), Fellow (of a scientific society) (female)
členství	membership
člověčenství	homage, serfdom
člověk	man (human being), pl. see lidé
čmýra	see měsíčky
čtenářský	reader's
čtenářský požadavek	reader's request
čtvrt	quarter
česká čtvrtce	Bohemian čtvrtce (1/16 of Bohemian strych = 5,849)
vídeňská čtvrtce	Viennese čtvrtce (1/8 of měřice = 7,686)
čtvrtenice	see malárie čtyřdenní
čtvrtina	fourth (part)
čtvrtláník	peasant owning one quarter of lán
čtvrtletí	quarter (ofyear)
čtvrtletní	quaterly
čtvrtnice	see malárie čtyřdenní
čtvrtodenní	quartan
činžovní daň	rent(al) tax
daň z hlavy	capitation tax, poll tax
daň z příjmu	income tax
přímá daň	direct tax
dar1. present	2. see darování
jitřní dar rooming gift, see also dar manžela svatební dar manžela	(=,,husbanďs wedding gift") dower, moming gift
dárce	donor, donator
darování	gift, presentation
datační formule	dating clause
datování Velikonoc	Baster style
datovat	to date
datum	subst. date
bez data	dateless
decimální	see desetinný
dědická dohoda	mutual wills
dědická posloupnost	heirdom
dědický podíl	portion
hlavní dědic	principal heir
zákonný dědic	legitimate heir
princip dědičnosti	hereditism
dědičný	hereditary, inherited, ancestral, hereditable
dědičná hodnost	hereditary <lignity
dědičný statek	allodium16, patrimony
dedikace	dedication
dedikovat	to dedicate
dědina	1. piece ofpeasanťs land in his hereditary possession (esp. field) 2. village (esp. in Moravian dialects)
Pražská defenestrace	Prague Defenestration17
dekáda	decade
dekorovat	see vyznamenat
delegovat	1. to depute (to) 2. to defer
dělení stínkami (cimbuh)	embattled (heral.)
dělostřelec	artilleryman, bombardier
demagog	demagogue
demise	resignation
demografie	demography
cestovní deník	itinerary
denně	every day
denní	daily
dennost	see dna
dentista	dentist, dental surgeon
depositář	archival store, depository, remote stora- ge (in the library)
deputace	see poselstvo
desátek	1. tithe (hist.) 2. churchscot (hist., rel.)
desatero	Decalogue
descendent	subst. descendant (= a lineal or colla- teral blood relative)
desky zemské	Public Records19
dešifrovat	to decipher
děti pocházející z manželství	children issuing from (this) marriage
dětinec	see děloha (hist.)
dětská práce	child labour
dětské neštovice	see neštovice plané
děvčátko	little girl
děvče1. see dívka	2. (maid)-servant, servant(-girl) (hist.)
děvečka	1. fann-maid (hist.) 2. little girl, especially daughter
deviza	see heslo
dezertovat	see zběhnout to desert (from)
diakon	see jáhen
diakritický	diacritical
diakritická znaménka	diacritical marks
diář	see deník 1.
diktatura	dictatorship
vojenská diktatura	military dictatorship
dílna	workshop
dílovedoucí	see předák
diplom	1. diplom (dipl.) 2. degree certificate
nobilitační diplom diplom of ennoblement, see also erbovní list
Říjnový diplom	the October Diploma
diplomacie	diplomacy
diplomatář	book of copies of diplomatical documents (dipl.)
diplomatika	diplomatics
direktor	director
disident	dissident
diskreditace	discreditation
udělit dispens	to grant a dispensation/dispense
disposice	disposition
dítě	child, baby, infant
mrtvě narozené dítě
still-bom
nevlastní dítěstepchild
odložit dítě	to abandon a child
dmutí	see rozedma plic
dna	gout
dna střevní	see neprůchodnost střev
dobytek	cattle
docent	docent (Centra] and East Europe), senior lecturer/reader, associated professor
soukromý docent	private docent
dodatek	addition, appendix
dohazovač	matchmaker, marriage broker (male)
dohazovačka	matchmaker, marriage broker (fe- male)
dohoda	agreement, treaty, accord
Mnichovská dohoda	see smlouva
dojička	dairymaid
doklad	document, paper, proof
doklad o zpopelnění/kremaci	document/certificate of cremation
domácí zvířata	domestic animals
domácnost	household
jednoduchá rodinná domácnost	simple family household (dem.)
rozšířená rodinná domácnost	extended family household (dem.)
složená rodinná domácnost	multiple family household (dem.)
domicil	domicil
dominikalista	peasant who rented his farm from the local landlord (dominikalista is literally one living on dominikál)
domkář	literally owner of a small house (= do-
domobrana	militia
domov	home
dosvědčit	see svědčit
dotaz	request, query, enquiry
dožínková slavnost	harvest festival
dožínky	harvest home
dráb	(bum-)bailiff, herald (villager who made public announcements ofnobility), catchpole (hist.)
dračka	feather-stripper (female)
drahý	1. dear 2. expensive
drajlink	cubic measure (esp. ofwine) (metro!.)
český drajlink	Bohemian drajlink (= 640 pints = 12,52 hl)
drátař	wire maker
drožkář	cabman
drůbež	poultry, (bamdoor) fowls
drůbežář	poulterer
drůbežník	see drůbežář
druh	1. cohabitant, common-law husband
druhopis	duplicate, see also duplikát
druhorozený	second(-bom)
družička	1. bridesmaid, best maid, paranymph
družka	common-law wife
drvoštěp	see dřevorubec (hist.)
držitel	holder, occupier, keeper, see also vlastník and majitel
duben	April
Duch svatý	the Holy Ghost, the Holy Spirit
duchovenstvo	clergy
duchovní řád	religious order
duktus	weight (of script)
zlaté doly	gold mines
dům	house
činžovní dům	block of flats
Dunaj	the Danube
duplikát	duplicate, added/second copy
důstojnost	Reverence (title ofprelate, abbot, and canon)
důstojný	reverend
dušatce	see dušnost
duše	soul
dušnost havířská	see zaprášení plic
dušnota	see dušnost
důvěrný	intimate, familiar
dvojče	twin
dvojspřeží	carriage/coach and pair, pair ofhorses
dvořan	courtier, henchman
dvořanka	lady ofthe court
královský dvůr	royal court
vrchnostenský dvůr	manorial farm,25 grange
Habsburská dynastie	the Hapsburg/Habsburg Dynasty
Přemyslovská dynastie	the Přemyslid Dynasty
dyzentérie	dysentery
džber	tub
editor	see redaktor
elita	elite
emigrantka	see vystěhovalec (female)
emigrovat	see vystěhovat se
enchiridon	enchiridon, handbook
enkláva	enclave
erbovní znamení	heraldic charge, figure (heral.)
erbovník	1. bearer of the coat-of-arms, especially burgher (non-nobleman) 2. see armorial
eskadra	squadron
eskadrila	flight
eskadrona	squadron (of cavalry)
eucharistie	Eucharist, see also svátost oltářní
evangelistář	evangelistary
evangelium	the Gospel
hlásat evangelium	to preach the Gospel
šířit evangelium	to spread the Gospel
evangelizovat	to evangelize
excerpce	excerption
excerpovat	to excerpt
expedice	expedition
expert	expert
expozitura	branch(-office)
expres	express
exulant	exile (esp. person expelled for religious or political reasons)
exulantský	exiles' (e.g. books)
faktorie	see továrna (hist.)
faktura	invoice
fakulta	faculty
matematicko-fyzikální fakulta	Faculty of Mathematics and Physics
teologická fakulta	Faculty ofTheology
falzifikát	falsification, see also padělek
familiant	l. peasant being a holder of „familie", bought (not rented) farm (hist.) 2. Jewish man having permission for starting a family (hist.)
fanatický	adj. fanatic
fanatik	subst. fanatic
náboženský fanatik	bigot
farní	adj. parish, parochial
farní obvod	parochial district, parish
farník	parishioner
farnost see farní obvod
farský see farní
fascikl	fascicle
fasse	tax return
městská fasse (tereziánského katastru)	,,town return" (ofthe Land-Registry ofMary Theresa) (hist.)
rustikální fasse (tereziánského katastru)	,,rusic retum" (ofthe Land-Registry ofMary Theresa)(hist.)
školní fasse	school reports
fenik	pfennig (small coin used esp. in German states)(num.)
feudální	adj. feudal
fiakr	cab
ficka	skivvy (maid-of-all-work)
filigrán	see vodoznak
flašinetář	organ-grinder
flašnéř	metal potmaker
fleky	see skvrnivka epidemická
forman	coachman (goods only)
formát	format
formulář	1. formulary (dipi.)2. form
fořtovna	wood-ranger's/forester's house
francouzská nemoc	see nemoc francouzská
3° From the time oj Joseph	/L the peasantshad a duty to levy a part oj their corn (J 0-12%) to the village granary as a Jund for those being inflicted by crop failure ar havoc.
fraucimor	lady's women (hist.)
frejmark	see směna
fundátor	founder (e.g. ofa monastery)
furunkl	see hnisavý zánět podkožní tkáně
fysik	see fyzik
fyzik(us)	physician (with a special approval for public medical activities)
fyziognomie	physiognomy
galantérie	haberdashery
galeje	galleys
Národní garda	National Guard
genealog	genealogist, see also rodopisec
genealogický	genealogical
generál	subst. general
generální	adj. general
gravidní	gravid
grešle	groschel (small copper coin, used from the times ofMaria Theresa [1740-1780])
groš	grosch(en)(num.)
kopa grošů	sixty/threescore of groschen
grunt	1. farm as a whole (from Germ. ,,Grund")
gruntovní	of „grunt"
gruntovní kniha	see pozemková kniha
gruntovní peníze annual installment paid by farm holder to landlord, part owners (e.g. widow, brothers, etc.) and other creditors (hist.)
gruntovnice	1. see pozemková kniha (hist.)
gruntovník	possessor of the „grunt" = peasant
gymnasista	student of secondary/high school (male)
gymnasistka	student of secondary/high school (female)
gymnasium	secondary grammar school/high school
habilitace	habilitation (academic qualification)
haléř	heller (small coin, part of crown)(num.)
halíř	see haléř
petrský halíř	see svatopetrský halíř
svatopetrský halíř	Peter's penny/pence
Halič	Galicia
hamr	iron-mill, hammer-mill (hist.)
hamrník	steel worker, forger (hist.)
handlíř	dealer, bargainer
hasičstvo	fire brigade
hatva	see záhať and nádor zhoubný
hejtmanství	a basic rank of state political administration head ofwhich is hejtman (hist.)
kolčí helm	tilting-helm
helma	helmet
helmice	casque (hist.), see also přilba
hemoroid	hemorrhoid
herald	herald
heraldický	heraldic, armorial
hermelín	ermine (heral.)
heroldské figury	honorable ordinaries (heral.)
hiát	hiatus
hierarchie	hierarchy
historie	history
historik	historian (male)
tajné hlasování	secret ballot
hlasovat	to vote
hluchý	deaf
hnačka	see úplavice střevní
hnisání v dutině pohrudniční	suppuration in pleural cavity (med.)
hnisat	to fester
hnisavá neštovice	see neštovice pravé
hodinář	clockmaker, clock repair
hodiny	clock
císařská hodnost	imperial lignity
dědičná královská hodnost	hereditary rank of king
hodnota	value
hodnověrnost	reliability, authenticity, credibility
nejvyšší hofmistr království	Lord High Steward (Britain), see Příloha
nejvyšší královský hofmistr	Lord Steward of the Household (Britain), see Příloha
hoch	see chlapec
holdovací přísaha	oath of allegiance
holdovat	to pay homage
holič	barber
holírna	barber's shop
holocaust	holocaust
hon	1. chase 2. hunt
honec	beater (proceeded hunt)
horečka šestinedělí	see horečka omladnic
horečka z rány	see otrava krve
horečka žlázová	see mononukleóza infekční
horečka žňová	see leptospiróza
lodní horečka	ship fever (see tyfus břišní)
zlatá horečka	see zlatý
horník	miner, collier
horoučka	see tyfus břišní
zájezdní hospoda	road house, inn
hospodářka	1. farmer (female)(hist.) 2. mistress, landlady (hist.)
lesní hospodářství	forestry
střídavé hospodářství	rotation of crops
hospodská	1. innkeeper (female), landlady
houfnice	howitzer (milit.)
housenka	caterpillar
housenky	see škvrkavky
houser	gander
hovězí	beef
hovězí dobytek	cattle
hrabě	Count (in England Earl)
hrábě	rake
hraběnka	Countess
hrad	castle
hradba	barrier, wall
hrách	peas
upálit na hranici	to bum at the stake
hraničář	borderer, frontiersman (lived on the frontier with wildemess)
hraniční	adj. border, frontier, boundary
hrnčíř	potter, ceramic potmaker
hrob	grave, tomb
hromadný hrob	mass grave
hrobka	vault, crypt
Hromnice	Candlemas (February 2), see also Očišťování Panny Marie
hrošitý	see sešlý věkem
hrouda	clod
hřbet (knihy)	back/spine (of a book)
hřích	sin
smrtelný hřích	deadly/mortal sin
těžký hřích	see smrtelný hřích
hřivna	talent (measure ofweight, esp. of gold and silver)(metrol.)
česká hřivna	Bohemian talent (= 1/2 of Bohemian pound = 256,9 g)
vídeňská hřivna	Viennese talent(= 280,006 g)
hutník	ironworker, smelter
chalupa	1. cottage, a small farm with least land-property (hist.)	2. weekend-house (coll.)
chalupník	literally owner of a cottage, i.e. cottager. Cottager possessed a cottage (= chalupa) and land property smaller than farmer, but larger than domkář who possessed usually only a garden and orchard, maximally one small field.1 (hist.)
chirograf	chirograph(y), see also cedule řezaná
chlebodárce	employer, master
chmelnice	hop-garden
přestat s někým chodit	to jilt (e.g. a boy)
cholera (asijská)	cholera
chór1. chancel, choir	2. chorus
choroba	see nemoc
chorobinec	see nemocnice (hist.)
chorý	invalid, sick, diseased, ill
choť	spouse, consort
chov	breeding, rearing
chov drůbeže	poultry-farming
chov včel	bee-keeping, apiculture
chovanec	see schovanec
chovanka	seeschovanka
chrám	temple, cathedral, minster
chřadnutí	see sešlost věkem and tuberkulóza and zhoubný nádor
chudobinec	almshouse (hist.)
chudokrevnost	anaemia (med.)
chudý	poor
churavý	see neduživý
chybějící	missing
chybět	to miss
identický	identical
diplomatická imunita	diplomatic immunity
inaugurace	inauguration
inaugurovat	to inaugurate
index	index
indikační skica	„indication sketch"
infarkt srdeční akutní	heart attack, infarction, coronary thrombosis
infule	mitre/miter, see also mitra
iniciály	initials
inkolát	domicile right in the Kingdom of Bohemia for aristocracy (citizenship in feudal period)(hist.)
inkoust	ink
inkubace	incubation
insert	insert (<lip!.)
insignie	insignia
inskripce	inscription (address)(dipl.)
první instance	the first level of promotion (e.g. local authorities)
intelektuál	subst. intellectual
interdikt	see klatba
internace	intemment
interpunkce	subst. punctuation
interpunkční	adj. punctuation
interpunkční znaménko	punctuation mark, point
interregnum	interregnum
interupce	abortion, termination of pregnancy
intimát	inside report
intitulace	intitulation (superscription)(dipl.)
intravilán	village core (built-up area of the village)
intrika	intrigue
intrikán	intriguer
intronizace	enthronization
invalida	invalid, cripple, disabled
investitura	investiture
invokace	invocation
itinerář	itinerary, travelogue
Izraelita	Israelite
izraelský	Israelite
Jan Křtitel	St. John the Baptist (June 24)
jarmarečník	barker
jarmark	fair
ječmen	barley
jednobřišní	adj. see polorodý (gen.)
jednolistový tisk	broadsheet, broadside
jednota	unity
jednota bratrská	Unitas Fratrum, Unity of Brethem, see also bratr - čeští bratří
panská jednota	baronial league
jednotka	unit
jehně	lamb
jeptiška	nun (a member ofreligious order or cong- regation ofwomen)
jesličky	see betlém
jinověrec	heterodox person
jirchárna	tewery
jirchář	tewer (tanner ofhides)
jistina	capital
jít do ciziny	to go abroad
jít do ilegality	see jít do podzemí
jít do kláštera	to take the veil (woman), to take orders (man)
jít do penze	to be retired on a pension
jít do podzemí	to go underground
jít do služby	to go into service
jít do stávky	to go on strike
jít na studie	to go on studies/university (hist.)
jít na zkoušku	see jít ke zkoušce
jít na zkušenou	to do one's apprenticeship
jít po stopách	to follow the tracks
jít světem	to wander about
jít za kmotra/kmotru	to stand as godfather/ godmother
jít za prací	to go job-hunting
jít za svědka	to be a witness (of a person)
jít žebrotou	to go begging
jitřní	adj. moming
jitřní dar	see dar
jitřní mše	moming mass
jizba	room, chamber (hist.)
jmenný popis	see bibliografický popis
jméno	name
pomístní jméno	local geographical name
jmenování	appointment (as), designation, nomination
jmenovaný	mentioned below/hereafter
níže jmenovaný	mentioned/said bellow
výšejmenovaný	above mentioned/said, aforeaid
jmenovec	namesake (male)
kachně	duckling
církevní kalendář	ecclesiastical calendar
gregoriánský kalendář	Gregorian (new) style,
kalich	chalice
kališník	Calixtine, see also Hussite, Utraquist
kancelář	1. chancery, chancellery (institution, e.g. papal ch., royal ch.) 2. office
česká dvorská kancelář	Chancellery at Court of Bohemia
kancelářské vyhotovení	chancery documents
kandidovat	to be/sit/appear as a candidate
kandidatura	candidature
kánon	canon
kanonický	canonical
kapitula	chapter
metropolitní kapitula	metropolitan chapter
řeholní kapitula	regular chapter
kapitulní	chapter
kapitulní vikář	chapter vicar
kaplan	chaplain
vojenský kaplan	see polní kurát
kaple chapel kapr carp kaprál	corporal
karbunkl	carbuncle, also see hnisavý zánět podkožní tkáně
karcer	detention after school
kardinál	cardinal
kariéra	career
karmelitán	Carmelite
karmelitánka	Carmelite nun
karneval	camival
kárníksee vozka and kočí
Karpatská Rus Carpathian Ruthenia
karta	card
karton	box (for preserving files in archives)(arch.)
kartotéka	card-index
kartouza	Charterhouse (Carthusian monastery)
kašel dávivý	whooping cough
autorský katalog	author catalogue
místní katalog	shelflist
josefinský katastr	the Land-Registry of Joseph II. (hist.)
katastr obyvatel	(=,,cadastre ofinhabitants"), see soupis obyvatel
stabilní katastr	(so-called) Stahle Land-Registry (hist.)
tereziánský katastr	the Land-Registry ofMaria Theresa (hist.)
katastrální obec	(cadastral) district/ township
katastrofa	catastrophe
přírodní katatstrofa	havoc
katolická církev	Catholic Church (Roman Catho- lic Church)
katolictví	Catholicism
kavárník	coffeehouse proprietor
kázat	to preach
kázat Slovo Boží	to preach the Word of God
káznice	penitentiary, workhouse
kejla	see kýla
kladivo	hammer
klamfýř	tinsmith, specializing in kitchen utensills
klání v prsou	see zánět plic and zánět pohrudnice and píchání na prsou
klání boční	see zánět plic and zánět pohrudnice and píchání na prsou
klást	to put down (money), see also položit
klást počet	to account for (hist.)
dát do klatby	to put under interdict
klausura	enclosure
klempíř	tinsmith (specialized in storm pipes and gutters), metalworker
klenotník	jeweller (male)
klerik	see duchovní
klerika	clerical dress, see also sutana
klérus	clergy, see also duchovenstvo
kleštič	castrator (equestrian, farm animals)
kletba	malediction
klima	climate
klimaktérium	menopause, climacteric
kloubů bolesti	see zánět kloubů
kluk	boy
kmen	l. tribe 2. stem, trunk
kmetična	peasant woman (hist.)
kmotr a kmotra	godparents
stát za kmotra	to stand as godfather to
kmotra	godmother
kněžna	princess
kněžský	clerical, priestly, sacerdotal
kněžský seminář	see seminář
kněžství	priesthood
kniha	book
kniha černá	book of capital sentences
kniha dluhů	see kniha obligací
kniha domovní	book of house markets
kniha hraničná	book of boarders (of estates)
kniha hrdelní	see kniha černá
kniha krevní	see kniha černá
kniha obstavuňků	see kniha stavuňků
kniha počtů	book of town taxes and finances
kniha popravčí	see kniha černá
kniha příjemná	book of newly entered burghers
kniha rychtářského práva	book of mayor's right
kniha sirotčí	orphans' book
kniha smluv přátelských a porovnání	book of arbitrator's decisions
kniha smolná	see kniha černá
kniha snoubenců	book of betrothed
kniha stavuňků	book of impounds
kniha svěcenců	book of ordinees
kniha testamentů	book of testaments
kniha trhová	book of markets
kniha trhovní	see kniha trhová
kniha ubrmanských smluv	book of arbitrator's contracts52
kniha vejhostů	see kniha zhostná
kniha vejpisů	book of extractions
kniha zápisná	see kniha trhová, see kniha obligací
kniha zhostná	book of copies of letters confirming abandonding of serfs
kniha zhostů	see kniha zhostná
kniha žalob, odporů a nálezů	book of accusations, protestations and findings
knihy židovských familiantů	books of Jewish familiants
památná kniha	see kniha pamětí
knihovna	library
Knihovna Národního muzea	The National Museum Library
Národní knihovna České republiky v Praze National Library of the Czech Republic in Prague
odborná knihovna	special library
příruční knihovna	departmental library
Státní vědecká knihovna State Scientific Library
Strahovská knihovna	Strahov Library (Library of the Royal Canonry of Premonstratensians)
knihovní fondy	book stacks/collection (lib.)
knížata z rodu Přemyslova	the princes from the House of Přemysl
knížectví	principality
knížka	see kniha
vojenská knížka	soldier's identification card (literally soldier's book)
knížní vazba	bookbinding
sáčková vazba	girdle-book
knoflíkář	button-maker
kňahně	see neštovice pravé (hist., med.)
kobercář	carpet-maker
kobyla	mare kočár carriage kočí coachman
kočovat	to lead a nomadic life
kód	code
kódovat	to encode
Kodex kanonického práva	Code of Canon Law
kognát	cognate (descendant on the mother's side/ distaff-side)
kohout	rooster
kolaborace	collaboration
kolatura	parish district
kolébka	cradle
od kolébky do hrobu	from the womb to the tomb
koledník	caroller
kolega	colleague
kolej1. college (hist.)	2. hall, hostel, fratemity
komise	commission
zemská vyvazovací komise	Provincial commission for disengagement of robota
komnata	bower, chamber
kompaktáta	Compacts
kompanie	company (military unit) (hist., milit.)
kompendium	compendium
komplikace	complication
komplikace v těhotenství	complications in
komplikace při porodu	complication during childbirth
komplikace v šestinedělí	see horečka omladnic
komtesa	comtesse
Tridentský koncil	Council of Trent
konfirmace	1. confirmation (e.g. of a privilege)
řeholní kongregace	religious congregation
kontrola porodnosti	birth-control
konvent	convent
konzul	consul
kooperátor	(literally cooperating priest) parochial vicar, chaplain
kopa	threescore (unit of calculation = 60 pieces)
kopiář	cartulary (dipl.)
kopie	copy
ověřená kopie	authentic copy
kopírovat	to copy
kopista	copy-clerk
kopyta	hooves, see also zbroj (herald.)
korbel	tankard
korbelář	bucketmaker
kord	sword
kordule	camisole
český korec	1. Bohemian korec(= 8112 square Bohemian ells = 0,285 ha), see also jitro and strych	2. Bohemian (Prague) korec(= 4 věrtels = 16 měřičkas = 93,5871)
korespondence	correspondence
korunní princ	Crown prince
korunovace	coronation
korunovační klenoty	coronation jewels
kořenářka	herbalist (female)
kosa	scythe
travní kosa	grass scythe
kosař	scythe-maker
kosit	to mow
farní kostel	parish/parochial church
filiální kostel	affiliated church
kostelník	sacristan, verger, church keeper, parish clerk
kostižer	see zánět kostní dřeně
dát někomu koš(íčk)em	to jilt somebody
košer	kosher
kovosoustružník metal turner kovotepec	metal chiseller, metal-beater koza goat, she-goat, nanny-goat
kozel	he-goat, billy goat
koželuh	tanner
kožešina	1. fur 2. fur (heral.)
kožešník	furrier
kráčející	(literally walking) passant (e.g. lion)
krajový	regional (e. g. custom, song)
krajský	regional (e. g. court oflaw)
krajská vláda	(= regional government) see
krajský úřad	Regional (administrative) Office
kralevic	prince, see also kníže, princ
královská komora	Royal Chamber (hist.)
královská výsost	Her/His/Your Royal Highness
království	kingdom, realm
Království české	Kingdom ofBohemia
krást to steal, to thieve krast see svrab (hist., med.)
kráva	cow
zádušní kráva	(=,,a cow of church funds") see železná kráva
