id,latin_word,czech_translation
37,accedo,"přistoupit (v eufem. smyslu Lv 18,14.19, ČEP překládá ""přiblížit se k ženě, a též RS 45:10, zde překládám kvůli dvojznačnosti raději ""přistoupit"" či ""vejít k"", ač pro eufem. ""vejít k"" je ve Vg. častější ingredior)	DZ"
38,accedo,"blížit se, přibližovat se, přicházet"
39,accentus gravis m.,přízvuk těžký	jaz.
40,accido,"nařezat, nakousat, okousat"
41,accido,"stát se, udát se, přihodit se"
42,accido,"stát se, udát se, přihodit se, nastat ; dopadnout ; padat, dopadat, padnout, klesnout ; připojovat se ; zastihnout (koho kde)	ad+cado ; jiné je accido (ad+caedo) ; LMALB a Pr."
43,accido,"přihodit se, nastat, připadnout"
44,accido,"naříznout, naseknout, natít, nakousat, okousat ; nabít, natlouct, namlátit komu, zbít koho ; oslabit, nalomit, podlomit	z ad + caedo ; jiné je accido z ad + cado"
45,accipere in gutture,chytit za krk
46,accipio,"dozvědět se, poznat"
47,accipio,"přijmout, dostat, vzít"
48,accipio,"přijmout, přijímat, dostat, dostávat, brát ; pozorovat, zaznamenat, všimnout si ; poznávat, dovídat se, slyšet ; rozumět, chápat, vykládat ; cítit, pociťovat ; vpouštět ; připouštět, neodmítat ; utržit, dostat (o trpném přijímání)"
49,accresco,"přirůstat, vzrůstat, růst, přibývat, zvětšovat se"
50,accuratio,"pečlivost, bedlivost"
51,accuratus,"důkladný, pečlivý, bedlivý"
52,accuso,"obvinit, vinit, vytýkat, žalovat"
53,acquiesco,"přijmout (radu), uposlechnout"
54,acquiesco,"odpočinout si, oddechnout si ; ustávat, upokojit se, mít pokoj ; být spokojen ; důvěřovat ; poslouchat (proseb, rady)"
55,acta,"činy, skutky ; nařízení, opatření ; zápisy o jednání / o vyšetřování, akta, listiny, písemnosti ; zprávy o jednání, denní zprávy, úřední deník, noviny"
56,actor,aktér (DZ)
57,actor,"honák, poháněč, pasák, pastýř ; hybná síla, vykonavatel, prováděč, jednatel ; herec, představitel (role), provozovatel ; pronášeč, pronašeč, mluvčí, řečník ; zástupce, obhájce, žalobce, sporná strana ; správce, zástupce (hospodářský) ; pronásledovatel	Pražák a LMALB"
58,actor,"poháněč, honák ; hybná síla, vykonavatel, prováděč, jednatel ; herec, představitel (role), provozovatel ; pronášeč, pronašeč, mluvčí, řečník ; zástupce, obhájce, žalobce, sporná strana ; správce, zástupce (hospodářský) ; aktér (DZ)"
59,actum,"zápis, listina (v sg. zřídka)"
60,Actus apostolorum,Skutky apoštolů (i takto v sg.)	LMALB
61,actus fidei m.,"svědectví víry, autodafé"
62,actus,"(význam ""puzení"" nenal. v Pražákovi ani LMALB, jen pohánění, popohánění, bez uvedení, že i v přeneseném smyslu ; WEH nicméně ""impulse"")"
63,actus,"(význam ""puzení"" nenal. v Pražákovi, MLLM ani LMALB, jen pohánění, popohánění, bez uvedení, že i v přeneseném smyslu ; WEH nicméně ""impulse"")"
64,actus,"čin, skutek, úkon, výkon ; jednání, konání, činnost, aktivita, dělání ; hnaní, pohánění, popohánění ; prudký pohyb, běh, chůze ; hnaní, pohánění ; pohlavní styk, akt ; přednes, přednášení, pronášení (promluvy) ; disputace ; dějství, akt (část divadelní hr	Pražák, LMALB, DZ ; viz též in actu"
65,actus,míra (jen ve spec. případech: eodem actu invisior erat)	Pražák
66,actus,veřejná funkce ; funkce církevního advokáta (actor) ; okrsek (svěřený nějakému funkcionáři) ; stupeň příbuzenství	MLLM
67,ad,"co do, hledíc k, co se týče čeho, pokud jde o co ; k, pro (o účelu) ; podle, na (o způsobu: podle taktu, na tento způsob) ; na, pro (o příčině: na sebemenší závan větru apod.) ; scribere ad aliquem psát komu"
68,ad,"k, ke, ku (o pohybu a směru) ; k, ke, na (o účelu, např. zajít si na jídlo) ; až po, po (o hranici ; od hlavy k patě apod.) ; u, při (o blízkosti) ; za, při (o okolnosti, např. za zvuků píšťaly) ; k, v (časově: k večeru)"
69,ad absurdum,"k nesmyslnosti, ad absurdum"
70,ad amplius,"více, napříště"
71,ad differentiam + gen.,na rozdíl od	LMALB
72,ad differentiam + gen.,"narozdíl od čeho ; aby se odlišilo od čeho, za účelem odlišení od"
73,ad hoc,v této souvislosti (DZ pro RS 54:20 ; tatáž volba později ověřena ve WEH 341)
74,ad hunc modum,takto
75,ad infinitum,"donekonečna, do nekonečna"
76,ad instar,(Pražák pod instar přímo neuvádí)
77,ad libitum,podle libosti
78,ad limina apostolorum,"(Duv. Hist. 109 překládá ""k hrobům apoštolů"")"
79,ad minus,přinejmenším
80,ad minus,"přinejmenším, nejméně"
81,ad multam noctem,když již noc postoupila
82,ad perpendiculum,svisle
83,ad tempus,"načas, dočasně, na okamžik, na chvilku, prozatím ; v určený čas, v pravý čas, včasně"
84,ad unus omnes,"do jednoho	Pražák I, s. 21"
85,ad verbum,doslova
86,Ada,Adam
87,adaequo,"vyrovnat se, stačit"
88,Adalbertus,Vojtěch
89,adamo,"zamilovat si, oblíbit si"
90,addo,"přidat, přidávat, dodat, dodávat, doplnit, doplňovat, přikládat, dávat k čemu, připojovat ; dodávat, způsobovat, vzbuzovat, zjednávat"
91,adduco ere,"k sobě táhnout, přitahovat"
92,adductus,"přiveden, pohnut, sveden"
93,ademo,odebrat
94,adeo,napadat někoho
95,adeo,"odebrat se, pustit se"
96,Adeodatus,Bohdan	tak překlad Zlaté legendy
97,adequito,"najíždět, dorážet"
98,adesse,být přichystán
99,adhaereo,"vězet, váznout, viset, držet se, zachycovat, lpět ; přilnout, souviset, držet se ; přiléhat, souviset, hraničit, sousedit s"
100,adhes-,[viz adhaereo]
101,adhibeo,"přidržovat, přikládat, přidávat ; objímat ; přibírat, brát si, přizvat, zvát, volat ; přibírat na poradu, tázat se na radu ; užívat (s nějakým účelem)"
102,adhortor,"vybízet, pobízet"
103,adhuc,"(MLLM význam ""alespoň"" také neuvádí ; je tu jen jediný význam, a to ""mimoto"")"
104,adhuc,"alespoň??? (hodí se do anonpojed, ale LMALB ani Pražák neuvádí)"
105,adhuc,"až sem, až dosud, dosud, posud, do nynějška, ještě nyní, dotud, potud ; ještě"
106,adhuc,"až sem, až dosud, dosud, posud, do nynějška, ještě nyní, dotud, potud ; ještě [já jsem to viděl i v kontextu, kde by bylo nejlepší překládat ""alespoň"", ale Pražák nic takového]"
107,adhuc,"dosud, doposud, ještě, až sem, až dosud"
108,adhuc,"dosud, dotud, ještě, mimoto ; nadto, ještě nadto, navíc ; ještě jednou, dokonce ještě jednou	LMALB ; nic víc"
109,adhumatio,pohřeb
110,adiaceo,"ležet u, ležet vedle"
111,adigo,"přirážet, zatloukat, zarážet"
112,adigo,"zarážet, přitloukat, vrážet"
113,adimpleo,"naplňovat, doplňovat, vyplňovat ; ukájet (o choutkách ; DZ)"
114,adinvenio,nalézt
115,aditus,"příchod, přístup, vchod"
116,aditus,"příležitost, prostředek, právo, příchod, přestup"
117,adiungo,"přidružit, získat si"
118,adiungo,"připojit, přivazovat, připřahovat ; přidružit ; získat si"
119,adiuramentum,"zapřísahání, naléhání	Pražák ; MLLM ; LMALB nic"
120,adiuratio,"zapřísahání ; zaklínání (ďábla)	LMALB ; MLLM ; Pražák nic, jen adiuro a adiurament"
121,adiurative,jako zapřísahání	LMALB
122,adiuratus,"přísežný ; svěcený, zaklínaný	LMALB"
123,adiuro,"alqm brát pod přísahu koho ; alqd alci přísežně přislíbit co komu, zaslíbit co komu ; alqm přimět k přísežnému přislíbení účasti na vojenském tažení ; (refl.) zapřísáhnout se"
124,adiuro,"přísahat, stvrzovat přísahou ; přidávat k přísaze ; alqm zapřísahat koho (aby něco udělal) ; alqm vyslovit nad někým magickou formuli, která činí ordál účinným (DZ: Fournier I, 314 adiuracio i pro magickou formuli vůbec)	MLLM, Pražák, LMALB"
125,adiutorium,"podporování, pomáhání, podpora, pomoc, přispění"
126,administer,pomocník
127,administro,"spravovat, řídit"
128,administro,"vykonat, provést, obstarat"
129,administro,"vykonat, provést, obstarat, manévrovat"
130,admiror,"divit se čemu, podivovat se čemu, žasnout nad čím ; obdivovat se	neklas. též propter alqd. ; tak DHC 309:10"
131,admitto,pouštět
132,admitto,"pouštět co, vypouštět, spouštět, hnát ; připouštět, vpouštět (o osobách) ; připouštět (zvířata k páření) ; dopustit se, připustit na sebe ; dovolovat"
133,admitto,"připouštět, dopouštět, stihnout"
134,admitto,"připouštět, stihnout"
135,admodum,nadmíru
136,admoneo,"připomínat, upomínat, upozorňovat ; napomínat, nabádat, pobízet"
137,adnoto,"poznamenávat, zaznamenávat ; znamenat, pozorovat"
138,adorior,"napadnout, přepadnout"
139,adorior,"hnát se, napadat, přepadat"
140,adorior,"napadat, útočit"
141,adoro,"(alqm) vzývat koho, modlit se ke komu ; (alqm) vzdávat chválu komu, chválit koho, velebit koho, uctívat koho, klanět se komu ; (absol.) modlit se ; (alqm) zbožňovat koho, obdivovat se komu ; (alqm) uctivě zdravit koho (MLLM)	Pražák, LMALB, MLLM"
142,adoro,"vzdát chválu, chválit, klanět se	DZ"
143,adorulum,houska	LMALB
144,adscisco,přibrat
145,adst-,viz ast-
146,adulescentior,"mladší (sic, Moneta 115 opozice adulescentior - senior)"
147,adulterium,"cizoložství, zálety"
148,adumbrare,"zaštítit, potvrdit (privilegium) ; skrýt, zakrýt	MLLM"
149,advenanto,"přicházet ; objevovat se, vyskytovat se"
150,adventor,"návštěvník, příchozí, host ; cizinec"
151,adversa nocte,proti noci
152,adversum,protivenství
153,adversus,"obrácený dopředu, vyčnívající vpřed, nastavený dopředu ; přední ; přivrácený ; protější, z protějška přicházející ; vpředu ležící, zpředu, naproti, proti (proudu) ; protivný, nepřátelský ; nepříznivý, neblahý, nevýhodný, nedobrý, nešťastný ; protivný, opa"
154,adverto,obracet
155,advoco,"svolávat, přivolávat, povolávat ; volat na pomoc k soudu ; vzývat (bohy)"
156,aeger,"smutný, trudný, strastný, nemocný"
157,aegre,"těžko, stěží, obtížně, nesnadně"
158,aemulatio,"soutěžení, závodění, horlivost, usilování ; řevnění, řevnivost, žárlivost ; závist"
159,aequalis,"rovný, rovnocenný, rovnomocný ; rovnoměrný ; vyrovnaný, stejnoměrný, stálý, pravidelný ; stejný (+ dat. s čím) ; stejného věku, rovný věkem, stejného věku, rovnověký, subst. vrstevník ; současný, souvěký"
160,aequinoctium,rovnodennost
161,aequitas,"spravedlnost, vyrovnanost"
162,aequo,"vyrovnávat, srovnávat, urovnávat"
163,aequus,"rovný, správný"
164,aequus,"rovný, správný, spravedlivý"
165,aer,"vzduch, ovzduší, povětří (psáno bez rozlučníku)	Pražák a LMALB"
166,aerarius,"kovový, měděný, spěžový, bronzový ; peněžní, finanční"
167,aerarius,"kovář, kotlář, zlatník ; razič mincí ; strážce pokladnice ; poplatník (občan nezařazený do tribuí, ale podléhající daňové povinnosti)	Pražák, LMALB, DZ"
168,aereum,měděná barva ; předmět vyrobený z mědi
169,aereus,"(LMALB pod aërius uvádí ""metr. aere-"" ; metr. je podle seznamu zkratek ""metrice"", tj. metricky, čímž zřejmě míní zachování rytmu básně ; z tohoto zdá se plyne, že aereus může být též forma aërius, tj. ""vzdušný"" atd., čemuž odpovídají... pokr. v části 2)	část 1"
170,aereus,"(příklady pod aërius: a-eas, a-ee, tj. aëreas, aëree: pod aëreus ostatně LMALB udává ""v. aërius"". Rozlučník může leckterý rkp. vynechávat, např. působením analogie se subst. aer, z čehož plyne závěr: ""aereus"" může být i podoba ""aërius"")	část 2"
171,aereus,kovový
172,aereus,"kovový, železný, měděný ; okovaný ; (WEH užití v RS 58:27 překládá ""zářivý / třpytný"")	Pražák a LMALB"
173,aëreus,"vzdušný, ve vzduchu jsoucí ; vysoký, nebetyčný, sahající vysoko do vzduchu, vysoko se tyčící ; modravý, barvy jako obloha ; ďábelský (viz v LMALB několik výskytů: prostě ""potestates aëree"") ; blankytný, azurově modrý, v barvě nebe	LMALB, Pražák, MLLM"
174,aerifer,kovonosný	Pražák
175,aërius,"vzdušný, ve vzduchu ; sahající vysoko do vzduchu, vysoký, nebetyčný ; modravý, barvy jako vzduch"
176,aërius,"vzdušný, ve vzduchu jsoucí ; vysoký, nebetyčný, sahající vysoko do vzduchu, vysoko se tyčící ; modravý, barvy jako obloha ; ďábelský (viz v LMALB několik výskytů: prostě ""potestates aëree"")	Pražák a LMALB"
177,aërius,"vzdušný, ve vzduchu jsoucí ; vysoký, nebetyčný, sahající vysoko do vzduchu, vysoko se tyčící ; modravý, barvy jako obloha ; ďábelský (viz v LMALB několik výskytů: prostě ""potestates aëree"") ; blankytný, azurově modrý, v barvě nebe	Pražák, LMALB, MLLM"
178,aes alienum,cizí peníze = dluhy
179,aes alienum,"dluh, dluhy"
180,aes viride,měděnka
181,aes,"1. měď, měděná ruda ; spěž, bronz ; kov ; 2. mosaz ; 3. věc vyrobená z bronzu, zejm.: polnice, trouba, trubka ; cymbál, cimbál ; zbraň, zbroj ; přilba ; štít ; nádoba, kotel ; deska, destička (na vyrytí nápisu) ; mince, peníz ; 3. peníze, majetek, jmění ;"
182,aes,"kov, měď, bronz"
183,aes,"kov, měď, bronz, mince, peníze"
184,aestas superior,loňské léto
185,aestimatio,odhad
186,aestivus,letní
187,aestus,"příboj, vlnobití, vlnění"
188,aestus,"příliv, klidné vlnění, vlnící se moře"
189,aestus,"vedro, horko"
190,aevum,"svět, tento svět, tento život, tento věk ; věčnost	MLLM"
191,affero,"připojit se, přinést si do"
192,affero,"přispívat, způsobovat"
193,afficio,"obdařit, opatřit, působit"
194,afficto,"potlouci, vrážet"
195,affictus,"rozbitý, porouchaný, po pádu poraněný, povalen"
196,affinitas,příbuznost (vzniklá sňatkem)
197,affirmo,"zesilovat, posilovat, upevňovat, utvrzovat ; potvrzovat, stvrzovat ; tvrdit (jako pravdu), jistit, ujišťovat"
198,affliga,"vyrážka, pupenec"
199,affligo,"ničit, drtit ; zachvacovat, stíhat ; trápit, sužovat, skličovat, soužit, týrat ; bít, tlouci, udeřit, kopnout ; ranit ; oslabovat, skličovat ; porazit	Pražák a LMALB nic víc"
200,affligo,"přirážet (k čemu), vrážet, narážet (do čeho) ; porouchat, poškodit, (pas.) ztroskotat ; srážet, porážet, povalit, (pas.) padnout, zřítit se, svalit se, klesnout ; zbořit, vyvrátit ; ponižovat, pokořovat	Pražák a LMALB nic víc"
201,affligo,"povalit, zřítit se"
202,Agareni,"Arabové? [jistě ano, podle otrokyně Hagar = Agar. Durand ve spojení Iudei ... et Agareni.]"
203,Agennensis,agenský (související s městem Agen)
204,aggrego,přidružit se
205,agite penitentiam,čiňte pokání
206,agmen,"tah, voj"
207,ago,"jednat ; dělat, konat, vykonávat, činit, provádět, provozovat, pracovat, pořizovat ; vést ; pohybovat se, spěchat, hnát se ; razit si (cestu) ; vyhánět, růst (o rostlinách) ; hnát, honit, popohánět, štvát, pronásledovat, odhánět ; plenit"
208,ago,pojednávat (v textu o čem + ak.)	DZ ex Moneta 283a ; Pražák neuvádí
209,ago,"pořídit, provést"
210,ago,"vypouštět (např. duši) ; vrhat, házet ; posouvat (o obléhacích strojích) ; dávat, hrát, provozovat (o divadle) ; trávit, žít, vést (život) ; žít, trávit, být, prodlévat, pohybovat se (kde), pobývat, bydlet"
211,ago,"vztyčit, položit"
212,agricultura,"zemědělství, hospodářství"
213,aio,"říkat, pravit, tvrdit ; říkat jako, přitakávat, přisvědčovat	Pražák neuvádí, ale ait je myslím préz. i pf."
214,alacritas,"bojechtivost, hbitos, čilost"
215,alacritas,"bojechtivost, nadšení"
216,alarii,spojenecké čety
217,alaris,"na křídle, spojenecký"
218,Albanensis,"albánský (tak např. Iz dubrovačkog archiva 3, s. 56, zcela jasně: in partibus Albanie a quodam Phylippo Albanense...)"
219,Albania,"Skotsko	Nitze - Jenkins, Perlesvaus, 18 a slovníček"
220,Albiensis,albský (související s městem Albi ; někdy užíváno místo Albigensis)
221,albigensis,albigenský
222,Albigensis,"albigenský, související s Albi (ani po křížové výpravě proti albigenským nebylo vždy nutně užíváno Albiensis a albigensis nebylo omezeno na katary, např. Migne, PL: Constantius Albigensis episcopus: Epistola ad sanctum Desiderium, Cadurcensem episcopum)"
223,alces,los
224,alias dictus,jinak řečený
225,alibi,jinde
226,alibi,"jinde, na jiném místě"
227,alicuius,něčí
228,alienata mens,"zmatená mysl, nepříčetnost, pomatenost, šílenost"
229,alieno,"zcizovat, odvracet"
230,alienus,"cizí, nepříznivý, nevýhodný"
231,alienus,"nepříznivý, nevýhodný"
232,aliqua,"někudy, nějak"
233,aliquamdiu,"(po) nějaký čas, jistou dobu"
234,aliquando,kdysi ; někdy
235,aliquando,"někdy ; leckdy ; kdysi, druhdy ; jednou, konečně"
236,aliquantulum,"maličko, trochu, trošku, trošičku	adv."
237,aliquantulum,"troška, trošinka, malé množství"
238,aliquantulus,maličký
239,aliquis,"někdo, něco ; některý, nějaký"
240,aliquis,"někdo, něco ; některý, nějaký ; (LMALB též) několik ; (DZ) něco (čeho)? (příslovce množství) ; někdo, něco (o někom / něčem významném)	LMALB, Pražák, DZ"
241,aliquo,někam ;
242,aliquo facinore comperto,zjištěním nějakého přečinu
243,aliquotiens,několikrát
244,aliquovorsum,někam
245,aliter,jinak
246,aliter nescit,"(často v inkv. registru Fournier, např. 336, konec odst.)"
247,alium,česnek
248,alius sed non alienus,"odlišný, ale nikoli nesouvisející (s tématem)"
249,alius,"jiný, jinaký"
250,allium,(lid.) česnek
251,alo,živit
252,alqm certiorem facere,"zpravovat někoho, dávati někomu zprávu"
253,alqm. certiorem facere,"zpravovati, dávati zprávu"
254,alta voce,nahlas	DZ ex RS
255,alte,nahlas
256,alteruter ... alterutrum,"jeden ... druhého, každý z obou ... toho druhého	DZ ex RS 55:1"
257,alteruter,jeden (ze dvou či z obou) ; jeden nebo druhý
258,alterutrum,"navzájem, vzájemně	adv."
259,altitudo,hloubka
260,amb-,"předpona pro dva, oba (např. cum ambabus je ""s oběma"")"
261,ambactus,služebník
262,ambages,"okliky ; okolky,okolkování ; záhady, dvojsmysly, nejasnosti, narážky"
263,ambo,oba dva spolu (skloňováno podle duo)
264,ambo,oba dva spolu (skloňováno podle duo)
265,ambulo,chodit ; jít a vrátit se ; procházet se ; procestovat
266,amen,amen
267,amentia,"šílenost, nepříčetnost"
268,amezo?,"[nenal., zřejmě vlastní jméno.]"
269,amititia,přátelství ; přátelé
270,amitto,"vzdálit se, zratit"
271,amitto,"vzdálit se, ztratit"
272,amitto,ztrácet
273,amitto,"ztratit, pozbýt"
274,amodo,"odteď, od nynějška, od této chvíle, nyní, v dalším"
275,ample,"hojně, rozsáhle"
276,ample,"rozsáhle, široce, objemně ; hojně, bohatě ; nádherně, skvěle (o slohu)"
277,amplexio,"objetí, objímání, obejmutí (LMALB ani Pražák nic, ale lat-fr ano a TDH 317 užívá ve formě amplexcio)"
278,amplifico,"zvětšovat, rozšiřovat"
279,amplitudo,"velikost, rozlehlost, rozsáhlost"
280,amplitudo,"velikost, velkolepost, důstojnost"
281,amplius,"hojněji, více, víc, větší počet ; déle, více než ; napříště, do budoucna ; důkladněji, více důkazů (formule, kterou se odročovalo soudní řízení)	LMALB a Pražák nic víc"
282,amplius,"navíc, ještě? (RS 45:6 ad hec dico amplius quod multi...)"
283,amplius,"více, větší počet"
284,amplius,"více, víc"
285,amplus,"prostorný, velký, rozsáhlý"
286,amplus,"velký, prostorný"
287,an,či
288,an - an,či - či
289,anceps,"dvojí, dvojstranný"
290,ancora,"kotev, kotva, kotvice"
291,angenensis,agenský (město v jižní Francii)
292,anguilla,úhoř
293,angusti montes,"strmé skály, těsně k moři přiléhající"
294,angustiae,úžina
295,angustiae,"úžina, úzké cesty"
296,angustus,"těsný, úzký"
297,anima,duše
298,animadverto,"dávat pozor, všímat si"
299,animadverto,"dávat pozor, všímat si, zpozorovat"
300,animal,"živý tvor, živočich"
301,animans,"živý tvor, živočich (o zvířatech i člověku)"
302,animatus,"živý, oduševnělý ; duševně uzpůsobený, naladěný, smýšlející nějak ; věrně oddaný ; srdnatý, statečný"
303,animum advertere,"upínat zřetel, zpozorovat"
304,anno dominicae incarnationis + číslo,roku X od Vtělení Páně
305,Anno Dominice incarnacionis (+ numerus),roku (+ číslo) od Kristova vtělení
306,anno incarnati verbi,"roku X od Vtělení Slova	viz Michaud in Reliques, 209, pozn. 54."
307,annoto,"poznamenávat, zaznamenávat ; znamenat, pozorovat"
308,annoto,zapsat
309,annuntio,"oznámit, vyprávět, sdělit"
310,ante,na (ante pectum RS 46 aj. je asi spíš na hrudi než před hrudí)	DZ
311,ante,"napřed, vpředu ; kupředu, vpřed ; dříve, předtím ; před, na (na očích), nad (koho vynikat)	Pražák a LMALB nic víc"
312,ante,"předtím, dříve"
313,ante conspectum + gen.,"před kým, v přítomnosti koho"
314,ante exactam hiemem,před koncem zimy
315,ante longe,"dlouho předtím, před dlouhou dobou"
316,ante omnia,především
317,ante tempora,"před časem, svého času"
318,antea,"předtím, dříve"
319,antecedo,"předstíhat, předbíhat, předčit"
320,antecedo,"předstihovat, předbíhat"
321,antecello,"předcházet, vynikat"
322,antedictus,"svrchu řečený, výše zmíněný, výše uvedený (např. Castanet 164)"
323,Antibari,Bar (dalmatské město)
324,antiquissimus,stařešina? (Pražák ani LMALB nic ; takto DZ v RS 58:20)
325,antiquissimus,"stařešina? (Pražák, LMALB ani MLLM nic ; takto DZ pro RS 58:20)"
326,antiquitas,"starobylost, dávnověkost, starobylý obyčej ; starožitnost, dějiny starého věku, starověk ; lidé starého věku, staří, předkové ; starobylý dobrý mrav, stará dobrá poctivost"
327,antiquitus,"od starodávna, odedávna, odjakživa ; dávno, před věky, pradávno, za starých dob, v dávných dobách"
328,antiquitus,"odedávna, odjakživa"
329,antiquus,"někdejší, dřívější, bývalý, starý, dávný (který již není) ; odvěký, starý, starobylý, starodávný, starožitný ; ctihodný (stářím) ; dobrý, starořímský ; poctivý ; přednější, důležitější, pilnější ; cennější"
330,antiquus,(Pražák ani LMALB nic)
331,antistita,"velekněžka, nejvyšší kněžka, arcikněžka, představená chrámu, hlavní obětnice ; dozorkyně ; mistryně (přen. o ženě dovedné v nějaké disciplíně)"
332,antistites,"velekněžka, nejvyšší kněžka, arcikněžka, představená chrámu, hlavní obětnice ; dozorkyně ; mistryně (přen. o ženě dovedné v nějaké disciplíně)"
333,antistites,"velekněz, nejvyšší kněz, arcikněz, představený chrámu, hlavní obětník ; velekněz, pontifex (papež) ; dozorce ; mistr (přen. o člověku dovedném v nějaké disciplíně)"
334,anuus,"jednoroční, celoroční"
335,aperte,zjevně
336,apertus,otevřený
337,apocalistica,"apokalyptický, související s Apokalypsou sv. Jana	porušené čtení?"
338,apoplexia,mrtvice
339,Appamiae,(geogr.) Pamiers	DZ ex Fournier
340,apparentia,zdánlivost
341,appareo,"objevit se, ukázat se, zjevit se, vynořit se ; být k službám, přisluhovat, posluhovat, konat službu ; jevit se, ukazovat se, být zjevný, být patrný"
342,apparet,"je zřejmé, je patrné, vysvítá, je nabíledni, je očividné, ukazuje se"
343,appellans,kdo se odvolal
344,appellare ad duelum,vyzvat na souboj
345,appellatus,"strana, proti níž směřuje odvolání"
346,appello,"jmenovat do funkce (hodí se do Bazzochi, 137 ; Pražák neuvádí, ale nalezeno ale v MLLM pro ""provolat císařem"")	DZ"
347,appello,"jmenovat do funkce (hodí se do Bazzochi, 137; Pražák neuvádí, ale nalezeno ale v MLLM pro ""provolat císařem"")"
348,appello,"nazývat, jmenovat, titulovat, zvát ; v pasivu nazývat se, zvát se, jmenovat se, být zván, slout ; jmenovat, jmenovitě uvést, zmínit se o kom"
349,appello,"nazývat, jmenovat, titulovat, zvát ; v pasivu nazývat se, zvát se, jmenovat se, být zván, slout ; jmenovat, jmenovitě uvést, zmínit se o kom ; provolat (císařem, MLLM)	Pražák, LMALB, MLLM"
350,appello,"odvolávat se na co, dovolávat se čeho, opírat se o co ; dožadovat se čeho (alqd)	MLLM"
351,appello,"promlouvat ke komu, oslovovat koho, pozdravit koho ; vzývat, volat na pomoc, dovolávat se, žádat o přispění, doprošovat se ; odvolávat se (k soudu apod.) ; apelovat na koho ; vyzývat, upomínat ; povolat k čemu (ke splnění povinnosti apod.)	Pražák, LMALB, MLLM"
352,appello,"promlouvat ke komu, oslovovat koho, pozdravit koho ; vzývat, volat na pomoc, dovolávat se, žádat o přispění, doprošovat se ; odvolávat se ; apelovat na koho ; vyzývat, upomínat"
353,appeto,"dychtit, toužit"
354,appeto,"dychtit, toužit"
355,appeto,"blížit se, nastat, hnát se"
356,applico,opírat se
357,appono,"připojit, přidružit"
