id,czech_word,english_translation
100,bezdětný,"adj. childless, heirless, issueless"
101,běženec,see utečenec
102,bibliografie,bibliography
103,bidlák,see hnisavý zánět podkožní tkáně
104,bigamie,bigamy
105,bigamista,bigamist
106,biřmovanec,see biřmovaný
107,bitva u Kresčaku,Bartle of Crécy (1345)
108,bitva u Lipan,Bartle of Lipany (1434)
109,bitevní pole,battlefield
110,blahopřání,greetings (e.g. to a birth of a baby)
111,blahoslavený,blessed
112,blahoslavená P. Marie,Blessed Virgin Mary
113,blasonování,blazoning (heral.)
114,blázen,lunatic
115,blázinec,"(lunatic) asylum, mental hospital/house"
116,bláznit,to be mad
117,blbost,see idiocie
118,blednička,see chudokrevnost
119,blíženec,see dvojče
120,bohatý,rich
121,bohém,bohemian
122,bolák,see pryskýř
123,bolavý,sore
124,bolení,"ache, gripes, colic"
125,bolení břicha,see kolika
126,bolest,"pain, ache"
127,bordura,see lem
128,božec,see psotník and padoucnice
129,Boží,"Goďs, Lorďs"
130,Boží království,Kingdom/Realm of God
131,Boží moudrosti,see Svatá Trojice
132,Boží muka,wayside column (usu. with Crucifixion)
133,boží nemoc,see padoucnice
134,Boží syn,see syn
135,brát si za manžela (manželku),see manžel
136,bratr1. brother,2. friar (title of a member of one of the Mendicant Orders founded in the Middle Ages)
137,čeští bratří,"Bohemian/Czech Brethren,see also jednota bratrská"
138,bratrstvo,"brotherhood, fratemity, confratemity"
139,brav,"sheep, goats and pigs"
140,breve,"breve, brief (esp. Papal) (dipl., rel.)"
141,brožura,"(stitched) booklet, paper-back"
142,brusič,cutter
143,reálné břemeno,real burden
144,březen,March
145,Bůh,God
146,požehnej Pán Bůh,God bless you
147,Zlatá bula Karlova,the Golden Bull of Charles IV.
148,Zlatá bula sicilská,Golden Bull od Sicily
149,bulvár,"1.boulevard, avenue 2. tabloid"
150,buržoazie,bourgeoisie
151,bydlení,"living, habitation, residence"
152,bydlet,"to live, to inhabit, to reside, to dwell"
153,bylinář,herbalist (male)
154,bylinářka,"herbalist (female), herb-woman"
155,byrokracie,bureaucracy
156,byrokratický,bureaucratic
157,byt,"1. (hist.) see příbytek 1. 2. fiat, apartment"
158,úřední byt,see úřední
159,bytná,landlady
160,bývalý,"former, previous"
161,cedule řezaná,"chirograph, endenture (dipl.)"
162,cechmistr,head of guild
163,celebrovat mši svatou,to celebrate Mass
164,celibát,"celibate, celibacy"
165,census,census
166,centnéř,see centnýř
167,centnýř,measure ofweight (metro!.)
168,český centnýř,Bohemian centnýř
169,centralismus,centralism
170,centralistická politika,centralist policy
171,cenzura,censorship
172,služební cesta,see služební
173,cestář,road-mender
174,cestopis,travelogue
175,cihlář,brickmaker
176,cihlářství,brick-making
177,církev československá husitská,see československá církev
178,církevní,ecclesiastical
179,církevní překážka,see kanonická překážka
180,církevní soud,ecclesiastical court
181,církevní zákon,ecclesiastical law
182,cirkulář,see oběžník
183,cirolog,see chirurg
184,císařský královský,imperial royal
185,císařství,empíre
186,civilněprávní,aqj. civil-law
187,do ciziny,abroad (I will go a.)
188,v cizině,abroad (I lived a.)
189,z ciziny,from abroad
190,cizmec,1. stranger 2. alien 3. foreigner (male)
191,cizinecký,aqj. foreign
192,cizinecký úřad,Aliens Office
193,ctnost,"virtue, see also cudnost"
194,cukrář,"confectioner, pastry cook"
195,cukrovar,"sugar factory, sugar refinery"
196,cvočkař,stud maker
197,cyklus,cycle
198,devatenáctiletý cyklus,lunar cycle of nineteen years (chron.)
199,solární cyklus,solar cycle (chron.)
200,cysta,cyst (med.)
201,čarodějnice,witch
202,čarodějnictví,witchcraft
203,čas,1. time 2. tense 3. see měsíčky
204,časopis,"periodical, joumal, magazine, serial"
205,Čechy,Bohemia
206,čeledín,"domestic farm band, groom"
207,dostat se pod čepec,"(=,,to get under bonnet"") to get married"
208,přijít pod čepec,"(=,,to come under bonnet"") see dostat se pod čepec"
209,čepice,cap
210,čepovat,to tap (a barell ofbeer)
211,černý obchod,illicit trade
212,černý trh,black market
213,červ,see roup
214,červen,June
215,červená,"usu. růže, but see also úplavice"
216,červenec,July
217,červenka,see úplavice
218,Československá republika,the Czechoslovak Republic
219,československá církev husitská,the Czechoslovak Hussite Church
220,Československý válečný kříž 1918,the Czechoslovak 1918 War Cross
221,čeští bratří,"see bratr, also see jednota bratrská"
222,česnekář,garlic-seller
223,čest,honour
224,čestný,"honest, honourable, honorary"
225,čestné prohlášení,affidavit
226,Češka,1. Czech 2. Bohemian (female)(hist.)
227,četa,"troop, platoon"
228,četař,sergeant
229,četnický,adj. gendarme
230,čihařství,fowler's trade
231,činže,rent
232,číslo,number
233,číslo časopisu,issue nuinber (of magazíne)
234,přírůstkové číslo,accession/inventory number (ofa book)(lib.)
235,číšnice,waitress
236,číšník,waiter
237,čižba,see čihařství
238,článek,article
239,článek víry,article of faith
240,člen,"member (of a club), Fellow (of a scientific society) (male)"
241,členka,"member (of a club), Fellow (of a scientific society) (female)"
242,členství,membership
243,člověčenství,"homage, serfdom"
244,člověk,"man (human being), pl. see lidé"
245,čmýra,see měsíčky
246,čtenářský,reader's
247,čtenářský požadavek,reader's request
248,čtvrt,quarter
249,česká čtvrtce,"Bohemian čtvrtce (1/16 of Bohemian strych = 5,849)"
250,vídeňská čtvrtce,"Viennese čtvrtce (1/8 of měřice = 7,686)"
251,čtvrtenice,see malárie čtyřdenní
252,čtvrtina,fourth (part)
253,čtvrtláník,peasant owning one quarter of lán
254,čtvrtletí,quarter (ofyear)
255,čtvrtletní,quaterly
256,čtvrtnice,see malárie čtyřdenní
257,čtvrtodenní,quartan
258,činžovní daň,rent(al) tax
259,daň z hlavy,"capitation tax, poll tax"
260,daň z příjmu,income tax
261,přímá daň,direct tax
262,dar1. present,2. see darování
263,"jitřní dar rooming gift, see also dar manžela svatební dar manžela","(=,,husbanďs wedding gift"") dower, moming gift"
264,dárce,"donor, donator"
265,darování,"gift, presentation"
266,datační formule,dating clause
267,datování Velikonoc,Baster style
268,datovat,to date
269,datum,subst. date
270,bez data,dateless
271,decimální,see desetinný
272,dědická dohoda,mutual wills
273,dědická posloupnost,heirdom
274,dědický podíl,portion
275,hlavní dědic,principal heir
276,zákonný dědic,legitimate heir
277,princip dědičnosti,hereditism
278,dědičný,"hereditary, inherited, ancestral, hereditable"
279,dědičná hodnost,hereditary <lignity
280,dědičný statek,"allodium16, patrimony"
281,dedikace,dedication
282,dedikovat,to dedicate
283,dědina,1. piece ofpeasanťs land in his hereditary possession (esp. field) 2. village (esp. in Moravian dialects)
284,Pražská defenestrace,Prague Defenestration17
285,dekáda,decade
286,dekorovat,see vyznamenat
287,delegovat,1. to depute (to) 2. to defer
288,dělení stínkami (cimbuh),embattled (heral.)
289,dělostřelec,"artilleryman, bombardier"
290,demagog,demagogue
291,demise,resignation
292,demografie,demography
293,cestovní deník,itinerary
294,denně,every day
295,denní,daily
296,dennost,see dna
297,dentista,"dentist, dental surgeon"
298,depositář,"archival store, depository, remote stora- ge (in the library)"
299,deputace,see poselstvo
300,desátek,"1. tithe (hist.) 2. churchscot (hist., rel.)"
301,desatero,Decalogue
302,descendent,subst. descendant (= a lineal or colla- teral blood relative)
303,desky zemské,Public Records19
304,dešifrovat,to decipher
305,děti pocházející z manželství,children issuing from (this) marriage
306,dětinec,see děloha (hist.)
307,dětská práce,child labour
308,dětské neštovice,see neštovice plané
309,děvčátko,little girl
310,děvče,"1. see dívka 2. (maid)-servant, servant(-girl) (hist.)"
311,děvečka,"1. fann-maid (hist.) 2. little girl, especially daughter"
312,deviza,see heslo
313,dezertovat,see zběhnout to desert (from)
314,diakon,see jáhen
315,diakritický,diacritical
316,diakritická znaménka,diacritical marks
317,diář,see deník 1.
318,diktatura,dictatorship
319,vojenská diktatura,military dictatorship
320,dílna,workshop
321,dílovedoucí,see předák
322,diplom,1. diplom (dipl.) 2. degree certificate
323,Říjnový diplom,the October Diploma
324,diplomacie,diplomacy
325,diplomatář,book of copies of diplomatical documents (dipl.)
326,diplomatika,diplomatics
327,direktor,director
328,disident,dissident
329,diskreditace,discreditation
330,udělit dispens,to grant a dispensation/dispense
331,disposice,disposition
332,dítě,"child, baby, infant"
333,odložit dítě,to abandon a child
334,dmutí,see rozedma plic
335,dna,gout
336,dna střevní,see neprůchodnost střev
337,dobytek,cattle
338,docent,"docent (Centra] and East Europe), senior lecturer/reader, associated professor"
339,soukromý docent,private docent
340,dodatek,"addition, appendix"
341,dohazovač,"matchmaker, marriage broker (male)"
342,dohazovačka,"matchmaker, marriage broker (fe- male)"
343,dohoda,"agreement, treaty, accord"
344,Mnichovská dohoda,see smlouva
345,dojička,dairymaid
346,doklad,"document, paper, proof"
347,doklad o zpopelnění/kremaci,document/certificate of cremation
348,domácí zvířata,domestic animals
349,domácnost,household
350,jednoduchá rodinná domácnost,simple family household (dem.)
351,rozšířená rodinná domácnost,extended family household (dem.)
352,složená rodinná domácnost,multiple family household (dem.)
353,domicil,domicil
354,dominikalista,peasant who rented his farm from the local landlord (dominikalista is literally one living on dominikál)
355,domkář,literally owner of a small house (= do-
356,domobrana,militia
357,domov,home
358,dosvědčit,see svědčit
359,dotaz,"request, query, enquiry"
360,dožínková slavnost,harvest festival
361,dožínky,harvest home
362,dráb,"(bum-)bailiff, herald (villager who made public announcements ofnobility), catchpole (hist.)"
363,dračka,feather-stripper (female)
364,drahý,1. dear 2. expensive
365,drajlink,cubic measure (esp. ofwine) (metro!.)
366,český drajlink,"Bohemian drajlink (= 640 pints = 12,52 hl)"
367,drátař,wire maker
368,drožkář,cabman
369,drůbež,"poultry, (bamdoor) fowls"
370,drůbežář,poulterer
371,drůbežník,see drůbežář
372,druh,"1. cohabitant, common-law husband"
373,druhopis,"duplicate, see also duplikát"
374,druhorozený,second(-bom)
375,družička,"1. bridesmaid, best maid, paranymph"
376,družka,common-law wife
377,drvoštěp,see dřevorubec (hist.)
378,držitel,"holder, occupier, keeper, see also vlastník and majitel"
379,duben,April
380,Duch svatý,"the Holy Ghost, the Holy Spirit"
381,duchovenstvo,clergy
382,duchovní řád,religious order
383,duktus,weight (of script)
384,zlaté doly,gold mines
385,dům,house
386,činžovní dům,block of flats
387,Dunaj,the Danube
388,duplikát,"duplicate, added/second copy"
389,důstojnost,"Reverence (title ofprelate, abbot, and canon)"
390,důstojný,reverend
391,dušatce,see dušnost
392,duše,soul
393,dušnost havířská,see zaprášení plic
394,dušnota,see dušnost
395,důvěrný,"intimate, familiar"
396,dvojče,twin
397,dvojspřeží,"carriage/coach and pair, pair ofhorses"
398,dvořan,"courtier, henchman"
399,dvořanka,lady ofthe court
400,královský dvůr,royal court
401,vrchnostenský dvůr,"manorial farm,25 grange"
402,Habsburská dynastie,the Hapsburg/Habsburg Dynasty
403,Přemyslovská dynastie,the Přemyslid Dynasty
404,dyzentérie,dysentery
405,džber,tub
406,editor,see redaktor
407,elita,elite
408,emigrantka,see vystěhovalec (female)
409,emigrovat,see vystěhovat se
410,enchiridon,"enchiridon, handbook"
411,enkláva,enclave
412,erbovní znamení,"heraldic charge, figure (heral.)"
413,erbovník,"1. bearer of the coat-of-arms, especially burgher (non-nobleman) 2. see armorial"
414,eskadra,squadron
415,eskadrila,flight
416,eskadrona,squadron (of cavalry)
417,eucharistie,"Eucharist, see also svátost oltářní"
418,evangelistář,evangelistary
419,evangelium,the Gospel
420,hlásat evangelium,to preach the Gospel
421,šířit evangelium,to spread the Gospel
422,evangelizovat,to evangelize
423,excerpce,excerption
424,excerpovat,to excerpt
425,expedice,expedition
426,expert,expert
427,expozitura,branch(-office)
428,expres,express
429,exulant,exile (esp. person expelled for religious or political reasons)
430,exulantský,exiles' (e.g. books)
431,faktorie,see továrna (hist.)
432,faktura,invoice
433,fakulta,faculty
434,matematicko-fyzikální fakulta,Faculty of Mathematics and Physics
435,teologická fakulta,Faculty ofTheology
436,falzifikát,"falsification, see also padělek"
437,familiant,"l. peasant being a holder of „familie"", bought (not rented) farm (hist.) 2. Jewish man having permission for starting a family (hist.)"
438,fanatický,adj. fanatic
439,fanatik,subst. fanatic
440,náboženský fanatik,bigot
441,farní,"adj. parish, parochial"
442,farní obvod,"parochial district, parish"
443,farník,parishioner
444,fascikl,fascicle
445,fasse,tax return
446,městská fasse (tereziánského katastru),",,town return"" (ofthe Land-Registry ofMary Theresa) (hist.)"
447,rustikální fasse (tereziánského katastru),",,rusic retum"" (ofthe Land-Registry ofMary Theresa)(hist.)"
448,školní fasse,school reports
449,fenik,pfennig (small coin used esp. in German states)(num.)
450,feudální,adj. feudal
451,fiakr,cab
452,ficka,skivvy (maid-of-all-work)
453,filigrán,see vodoznak
454,flašinetář,organ-grinder
455,flašnéř,metal potmaker
456,fleky,see skvrnivka epidemická
457,forman,coachman (goods only)
458,formát,format
459,formulář,1. formulary (dipi.)2. form
460,fořtovna,wood-ranger's/forester's house
461,francouzská nemoc,see nemoc francouzská
463,fraucimor,lady's women (hist.)
464,frejmark,see směna
465,fundátor,founder (e.g. ofa monastery)
466,furunkl,see hnisavý zánět podkožní tkáně
467,fysik,see fyzik
468,fyzik(us),physician (with a special approval for public medical activities)
469,fyziognomie,physiognomy
470,galantérie,haberdashery
471,galeje,galleys
472,Národní garda,National Guard
473,genealog,"genealogist, see also rodopisec"
474,genealogický,genealogical
475,generál,subst. general
476,generální,adj. general
477,gravidní,gravid
478,grešle,"groschel (small copper coin, used from the times ofMaria Theresa [1740-1780])"
479,groš,grosch(en)(num.)
480,kopa grošů,sixty/threescore of groschen
481,grunt,"1. farm as a whole (from Germ. ,,Grund"")"
482,gruntovní,"of „grunt"""
483,gruntovní kniha,see pozemková kniha
484,gruntovnice,1. see pozemková kniha (hist.)
485,gruntovník,"possessor of the „grunt"" = peasant"
486,gymnasista,student of secondary/high school (male)
487,gymnasistka,student of secondary/high school (female)
488,gymnasium,secondary grammar school/high school
489,habilitace,habilitation (academic qualification)
490,haléř,"heller (small coin, part of crown)(num.)"
491,halíř,see haléř
492,petrský halíř,see svatopetrský halíř
493,svatopetrský halíř,Peter's penny/pence
494,Halič,Galicia
495,hamr,"iron-mill, hammer-mill (hist.)"
496,hamrník,"steel worker, forger (hist.)"
497,handlíř,"dealer, bargainer"
498,hasičstvo,fire brigade
499,hatva,see záhať and nádor zhoubný
500,hejtmanství,a basic rank of state political administration head ofwhich is hejtman (hist.)
501,kolčí helm,tilting-helm
502,helma,helmet
503,helmice,"casque (hist.), see also přilba"
504,hemoroid,hemorrhoid
505,herald,herald
506,heraldický,"heraldic, armorial"
507,hermelín,ermine (heral.)
508,heroldské figury,honorable ordinaries (heral.)
509,hiát,hiatus
510,hierarchie,hierarchy
511,historie,history
512,historik,historian (male)
513,tajné hlasování,secret ballot
514,hlasovat,to vote
515,hluchý,deaf
516,hnačka,see úplavice střevní
517,hnisání v dutině pohrudniční,suppuration in pleural cavity (med.)
518,hnisat,to fester
519,hnisavá neštovice,see neštovice pravé
520,hodinář,"clockmaker, clock repair"
521,hodiny,clock
522,císařská hodnost,imperial lignity
523,dědičná královská hodnost,hereditary rank of king
524,hodnota,value
525,hodnověrnost,"reliability, authenticity, credibility"
526,nejvyšší hofmistr království,"Lord High Steward (Britain), see Příloha"
527,nejvyšší královský hofmistr,"Lord Steward of the Household (Britain), see Příloha"
528,hoch,see chlapec
529,holdovací přísaha,oath of allegiance
530,holdovat,to pay homage
531,holič,barber
532,holírna,barber's shop
533,holocaust,holocaust
534,hon,1. chase 2. hunt
535,honec,beater (proceeded hunt)
536,horečka šestinedělí,see horečka omladnic
537,horečka z rány,see otrava krve
538,horečka žlázová,see mononukleóza infekční
539,horečka žňová,see leptospiróza
540,lodní horečka,ship fever (see tyfus břišní)
541,zlatá horečka,see zlatý
542,horník,"miner, collier"
543,horoučka,see tyfus břišní
544,zájezdní hospoda,"road house, inn"
545,hospodářka,"1. farmer (female)(hist.) 2. mistress, landlady (hist.)"
546,lesní hospodářství,forestry
547,střídavé hospodářství,rotation of crops
548,hospodská,"1. innkeeper (female), landlady"
549,houfnice,howitzer (milit.)
550,housenka,caterpillar
551,housenky,see škvrkavky
552,houser,gander
553,hovězí,beef
554,hovězí dobytek,cattle
555,hrabě,Count (in England Earl)
556,hrábě,rake
557,hraběnka,Countess
558,hrad,castle
559,hradba,"barrier, wall"
560,hrách,peas
561,upálit na hranici,to bum at the stake
562,hraničář,"borderer, frontiersman (lived on the frontier with wildemess)"
563,hraniční,"adj. border, frontier, boundary"
564,hrnčíř,"potter, ceramic potmaker"
565,hrob,"grave, tomb"
566,hromadný hrob,mass grave
567,hrobka,"vault, crypt"
568,Hromnice,"Candlemas (February 2), see also Očišťování Panny Marie"
569,hrošitý,see sešlý věkem
570,hrouda,clod
571,hřbet (knihy),back/spine (of a book)
572,hřích,sin
573,smrtelný hřích,deadly/mortal sin
574,těžký hřích,see smrtelný hřích
575,hřivna,"talent (measure ofweight, esp. of gold and silver)(metrol.)"
576,česká hřivna,"Bohemian talent (= 1/2 of Bohemian pound = 256,9 g)"
577,vídeňská hřivna,"Viennese talent(= 280,006 g)"
578,hutník,"ironworker, smelter"
579,chalupa,"1. cottage, a small farm with least land-property (hist.)	2. weekend-house (coll.)"
580,chalupník,"literally owner of a cottage, i.e. cottager. Cottager possessed a cottage (= chalupa) and land property smaller than farmer, but larger than domkář who possessed usually only a garden and orchard, maximally one small field.1 (hist.)"
581,chirograf,"chirograph(y), see also cedule řezaná"
582,chlebodárce,"employer, master"
583,chmelnice,hop-garden
584,přestat s někým chodit,to jilt (e.g. a boy)
585,cholera (asijská),cholera
586,chór,"1. chancel, choir 2. chorus"
587,choroba,see nemoc
588,chorobinec,see nemocnice (hist.)
589,chorý,"invalid, sick, diseased, ill"
590,choť,"spouse, consort"
591,chov,"breeding, rearing"
592,chov drůbeže,poultry-farming
593,chov včel,"bee-keeping, apiculture"
594,chovanec,see schovanec
595,chovanka,seeschovanka
596,chrám,"temple, cathedral, minster"
597,chřadnutí,see sešlost věkem and tuberkulóza and zhoubný nádor
598,chudobinec,almshouse (hist.)
599,chudokrevnost,anaemia (med.)
600,chudý,poor
601,churavý,see neduživý
602,chybějící,missing
603,chybět,to miss
604,identický,identical
605,diplomatická imunita,diplomatic immunity
606,inaugurace,inauguration
607,inaugurovat,to inaugurate
608,index,index
609,indikační skica,"„indication sketch"""
610,infarkt srdeční akutní,"heart attack, infarction, coronary thrombosis"
611,infule,"mitre/miter, see also mitra"
612,iniciály,initials
613,inkolát,domicile right in the Kingdom of Bohemia for aristocracy (citizenship in feudal period)(hist.)
614,inkoust,ink
615,inkubace,incubation
616,insert,insert (<lip!.)
617,insignie,insignia
618,inskripce,inscription (address)(dipl.)
619,první instance,the first level of promotion (e.g. local authorities)
620,intelektuál,subst. intellectual
621,interdikt,see klatba
622,internace,intemment
623,interpunkce,subst. punctuation
624,interpunkční,adj. punctuation
625,interpunkční znaménko,"punctuation mark, point"
626,interregnum,interregnum
627,interupce,"abortion, termination of pregnancy"
628,intimát,inside report
629,intitulace,intitulation (superscription)(dipl.)
630,intravilán,village core (built-up area of the village)
631,intrika,intrigue
632,intrikán,intriguer
633,intronizace,enthronization
634,invalida,"invalid, cripple, disabled"
635,investitura,investiture
636,invokace,invocation
637,itinerář,"itinerary, travelogue"
638,Izraelita,Israelite
639,izraelský,Israelite
640,Jan Křtitel,St. John the Baptist (June 24)
641,jarmarečník,barker
642,jarmark,fair
643,ječmen,barley
644,jednobřišní,adj. see polorodý (gen.)
645,jednolistový tisk,"broadsheet, broadside"
646,jednota,unity
647,jednota bratrská,"Unitas Fratrum, Unity of Brethem, see also bratr - čeští bratří"
648,panská jednota,baronial league
649,jednotka,unit
650,jehně,lamb
651,jeptiška,nun (a member ofreligious order or cong- regation ofwomen)
652,jesličky,see betlém
653,jinověrec,heterodox person
654,jirchárna,tewery
655,jirchář,tewer (tanner ofhides)
656,jistina,capital
657,jít do ciziny,to go abroad
658,jít do ilegality,see jít do podzemí
659,jít do kláštera,"to take the veil (woman), to take orders (man)"
660,jít do penze,to be retired on a pension
661,jít do podzemí,to go underground
662,jít do služby,to go into service
663,jít do stávky,to go on strike
664,jít na studie,to go on studies/university (hist.)
665,jít na zkoušku,see jít ke zkoušce
666,jít na zkušenou,to do one's apprenticeship
667,jít po stopách,to follow the tracks
668,jít světem,to wander about
669,jít za kmotra/kmotru,to stand as godfather/ godmother
670,jít za prací,to go job-hunting
671,jít za svědka,to be a witness (of a person)
672,jít žebrotou,to go begging
673,jitřní,adj. moming
674,jitřní dar,see dar
675,jitřní mše,moming mass
676,jizba,"room, chamber (hist.)"
677,jmenný popis,see bibliografický popis
678,jméno,name
679,pomístní jméno,local geographical name
680,jmenování,"appointment (as), designation, nomination"
681,jmenovaný,mentioned below/hereafter
682,níže jmenovaný,mentioned/said bellow
683,výšejmenovaný,"above mentioned/said, aforeaid"
684,jmenovec,namesake (male)
685,kachně,duckling
686,církevní kalendář,ecclesiastical calendar
687,gregoriánský kalendář,"Gregorian (new) style,"
688,kalich,chalice
689,kališník,"Calixtine, see also Hussite, Utraquist"
690,kancelář,"1. chancery, chancellery (institution, e.g. papal ch., royal ch.) 2. office"
691,česká dvorská kancelář,Chancellery at Court of Bohemia
692,kancelářské vyhotovení,chancery documents
693,kandidovat,to be/sit/appear as a candidate
694,kandidatura,candidature
695,kánon,canon
696,kanonický,canonical
697,kapitula,chapter
698,metropolitní kapitula,metropolitan chapter
699,řeholní kapitula,regular chapter
700,kapitulní,chapter
701,kapitulní vikář,chapter vicar
702,kaplan,chaplain
703,vojenský kaplan,see polní kurát
704,kaple chapel kapr carp kaprál,corporal
705,karbunkl,"carbuncle, also see hnisavý zánět podkožní tkáně"
706,karcer,detention after school
707,kardinál,cardinal
708,kariéra,career
709,karmelitán,Carmelite
710,karmelitánka,Carmelite nun
711,karneval,camival
712,karta,card
713,karton,box (for preserving files in archives)(arch.)
714,kartotéka,card-index
715,kartouza,Charterhouse (Carthusian monastery)
716,kašel dávivý,whooping cough
717,autorský katalog,author catalogue
718,místní katalog,shelflist
719,josefinský katastr,the Land-Registry of Joseph II. (hist.)
720,katastr obyvatel,"(=,,cadastre ofinhabitants""), see soupis obyvatel"
721,stabilní katastr,(so-called) Stahle Land-Registry (hist.)
722,tereziánský katastr,the Land-Registry ofMaria Theresa (hist.)
723,katastrální obec,(cadastral) district/ township
724,katastrofa,catastrophe
725,přírodní katatstrofa,havoc
726,katolická církev,Catholic Church (Roman Catho- lic Church)
727,katolictví,Catholicism
728,kavárník,coffeehouse proprietor
729,kázat,to preach
730,kázat Slovo Boží,to preach the Word of God
731,káznice,"penitentiary, workhouse"
732,kejla,see kýla
733,kladivo,hammer
734,klamfýř,"tinsmith, specializing in kitchen utensills"
735,klání v prsou,see zánět plic and zánět pohrudnice and píchání na prsou
736,klání boční,see zánět plic and zánět pohrudnice and píchání na prsou
737,klást,"to put down (money), see also položit"
738,klást počet,to account for (hist.)
739,dát do klatby,to put under interdict
740,klausura,enclosure
741,klempíř,"tinsmith (specialized in storm pipes and gutters), metalworker"
742,klenotník,jeweller (male)
743,klerik,see duchovní
744,klerika,"clerical dress, see also sutana"
745,klérus,"clergy, see also duchovenstvo"
746,kleštič,"castrator (equestrian, farm animals)"
747,kletba,malediction
748,klima,climate
749,klimaktérium,"menopause, climacteric"
750,kloubů bolesti,see zánět kloubů
751,kluk,boy
752,kmen,"l. tribe 2. stem, trunk"
753,kmetična,peasant woman (hist.)
754,kmotr a kmotra,godparents
755,stát za kmotra,to stand as godfather to
756,kmotra,godmother
757,kněžna,princess
758,kněžský,"clerical, priestly, sacerdotal"
759,kněžský seminář,see seminář
760,kněžství,priesthood
761,kniha,book
762,kniha černá,book of capital sentences
763,kniha dluhů,see kniha obligací
764,kniha domovní,book of house markets
765,kniha hraničná,book of boarders (of estates)
766,kniha hrdelní,see kniha černá
767,kniha krevní,see kniha černá
768,kniha obstavuňků,see kniha stavuňků
769,kniha počtů,book of town taxes and finances
770,kniha popravčí,see kniha černá
771,kniha příjemná,book of newly entered burghers
772,kniha rychtářského práva,book of mayor's right
773,kniha sirotčí,orphans' book
774,kniha smluv přátelských a porovnání,book of arbitrator's decisions
775,kniha smolná,see kniha černá
776,kniha snoubenců,book of betrothed
777,kniha stavuňků,book of impounds
778,kniha svěcenců,book of ordinees
779,kniha testamentů,book of testaments
780,kniha trhová,book of markets
781,kniha trhovní,see kniha trhová
782,kniha ubrmanských smluv,book of arbitrator's contracts52
783,kniha vejhostů,see kniha zhostná
784,kniha vejpisů,book of extractions
785,kniha zápisná,"see kniha trhová, see kniha obligací"
